"tier","sop_name","site","sop_status","signoff_type","governing_policies","section_or_area","tier_metadata","priority_notes","review"
"educator","Cultural Partnerships","Multicampus","existing","self","Multicultural Policy","","","Rolled out 17 August 2026, still in progress.",""
"educator","Inclusion & Fair Access in Daily Practice","Multicampus","existing","self","Interactions with Children Families and Staff","","","",""
"educator","Learning Stories and Daily Posts","Multicampus","existing","self","Educational Program Policy","","","",""
"educator","Storage: Office Sheds and Storerooms","Multicampus","existing","self","Safe Storage of Hazardous Chemicals","","","",""
"educator","Transitions","Multicampus","existing","self","Educational Program Policy; Transition School Policy","","","",""
"educator","Psychosocial Hazard Identification and Review","Multicampus","new_policy_and_sop_required","supervisor","Psychosocial Hazard Policy","","","PRIORITY 1. OHS Psychological Health Regulations 2025 in force since 1 Dec 2025. Needs a documented risk assessment and review cycle, not just a statement.",""
"educator","Responding to and Preventing Sexual Harassment","Multicampus","new_policy_and_sop_required","self","Sexual Harassment Prevention and Positive Duty Policy","","","PRIORITY 1. Positive duty expands under the Fair Work Act from October 2026 and covers third parties including parents and visitors.",""
"educator","Staff Grievance and Dispute Resolution","Multicampus","new_policy_and_sop_required","self","Staff Grievance and Dispute Resolution Policy","","","PRIORITY 1. No staff-facing equivalent to the family complaints process currently exists.",""
"educator","Bullying and Harassment - Staff to Staff","Multicampus","new_policy_and_sop_required","self","Bullying and Harassment Policy","","","PRIORITY 1. Distinct from the Code of Conduct. This is what a Fair Work anti-bullying application tests against.",""
"educator","Bushfire Response","Multicampus","new_sop_required","supervisor","Bush Fire Policy","","","PRIORITY 1. Policy exists, no SOP translates it into staff actions. High consequence for regional sites.",""
"educator","Managing an Aggressive Person or Visitor","Multicampus","new_sop_required","self","Managing an Aggressive Person or Visitor Policy","","","PRIORITY 1. Also directly serves the psychosocial hazard duty, aggression is a named hazard.",""
"educator","Anaphylaxis Response","Multicampus","new_sop_required","supervisor","Anaphylaxis Management","","","PRIORITY 1. Currently folded into the medication SOP. High consequence, warrants its own SOP and observed competency.",""
"educator","Bottle and Breast Milk Preparation","Multicampus","new_sop_required","supervisor","Bottle Safety Preparation; Breast Milk Preparation Procedure","","","PRIORITY 1. Becomes critical with the Timboon baby room opening.",""
"educator","Child Protection and Reportable Conduct - Educator Level","Multicampus","new_sop_required","supervisor","Child Safe Environment; Statement of Safety to Child Commitment","","","PRIORITY 1. Currently exists at leadership tier only. Every educator is a mandatory reporter and needs their own SOP.",""
"educator","Manual Handling","Multicampus","trained_not_documented","supervisor","Manual Handling Policy","","","Training already delivered face-to-face by directors, but no policy or SOP captures it and there is no sign-off record. Cheapest gap to close: the work is already done, it just needs documenting. Build the sign-off record retrospectively from director attendance records.",""
"educator","Adverse Weather Response","Multicampus","new_sop_required","self","Adverse Weather Policy","","","PRIORITY 2.",""
"educator","Site Emergency and Disaster Response","Multicampus","new_sop_required","supervisor","Disaster Plan Mortlake; Disaster Plan Timboon","","","PRIORITY 2. Site-specific. Separate from the existing evacuation and lockdown SOP.",""
"educator","Students Volunteers and Visitors","Multicampus","new_sop_required","self","Student Volunteers and Visitors Policy","","","PRIORITY 2. Ties to Child Safe Standards: who supervises non-staff adults on site.",""
"educator","Handling a Family Complaint","Multicampus","new_sop_required","self","Complaints and Feedback Policy; Procedure for Dealing with Complaints","","","PRIORITY 2. Existing SOP covers staff raising concerns, not staff receiving a family complaint.",""
"educator","UV and Sun Safety","Multicampus","new_sop_required","self","UV Sun Safety","","","PRIORITY 3. Currently folded into Outdoor Play Safety & Risk.",""
"educator","Water Safety","Multicampus","new_sop_required","self","Water Safety","","","PRIORITY 3. Currently folded into Outdoor Play Safety & Risk.",""
"educator","Right to Disconnect","Multicampus","new_policy_and_sop_required","self","Right to Disconnect Policy","","","PRIORITY 3. Newest NES entitlement.",""
"room_leader","Room Budget & Spending","Multicampus","","self","","","rollout_status=Pending; roll_out_date=23 Jan 2026; qa=QA3 (low), QA4 (low), QA7 (high)","",""
"room_leader","Emergency Management","Multicampus","","self","","","rollout_status=Pending; roll_out_date=30 Jan 2026; qa=QA2 (high), QA3 (med), QA4 (low), QA7 (med)","",""
"room_leader","Morning Huddle","Multicampus","","self","","","rollout_status=Pending; roll_out_date=6 Feb 2026; qa=QA1 (low), QA2 (low), QA4 (high), QA7 (med)","",""
"room_leader","Handling and Storage of Medication","Multicampus","","self","","","rollout_status=Complete; roll_out_date=13 Feb 2026; qa=QA2 (high), QA4 (low), QA7 (med)","",""
"room_leader","Headcounts, Ratios & Floor Reallocation","Multicampus","","self","","","rollout_status=Pending; roll_out_date=20 Feb 2026; qa=QA2 (high), QA4 (high), QA7 (low)","",""
"room_leader","Illness, Exclusion & Send-Home Decisions","Multicampus","","self","","","rollout_status=Presented; roll_out_date=27 Feb 2026; qa=QA2 (high), QA4 (low), QA6 (med), QA7 (low)","",""
"room_leader","Sleep & Rest Risk Oversight","Multicampus","","self","","","rollout_status=Presented; roll_out_date=6 Mar 2026; qa=QA2 (high), QA3 (low), QA4 (low), QA7 (low)","",""
"room_leader","Inclusion Adjustments & SIP/KIS Implementation","Multicampus","","self","","","rollout_status=Presented; roll_out_date=13 Mar 2026; qa=QA1 (med), QA4 (low), QA5 (high), QA6 (med), QA7 (low)","",""
"room_leader","Responding to Hazards & Practice Concerns","Multicampus","","self","","","rollout_status=Presented; roll_out_date=20 Mar 2026; qa=QA2 (med), QA3 (high), QA4 (low), QA7 (med)","",""
"room_leader","Planning the Educational Program","Multicampus","","self","","","rollout_status=Pending; roll_out_date=27 Mar 2026; qa=QA1 (high), QA4 (med), QA5 (low), QA7 (low)","",""
"room_leader","Parent and Community Partnerships","Multicampus","","self","","","rollout_status=Pending; roll_out_date=3 Apr 2026; qa=(not yet weighted)","",""
"educational_leader","SOP 1: Curriculum and Program Oversight","Multicampus","","self","","Section 1 - Pedagogical Leadership","","EYLF/VEYLDF alignment; weekly program review + walkthroughs.",""
"educational_leader","SOP 2: Assessment and Planning Cycle Quality","Multicampus","","self","","Section 1 - Pedagogical Leadership","","",""
"educational_leader","SOP 3: Critical Reflection Culture","Multicampus","","self","","Section 1 - Pedagogical Leadership","","",""
"educational_leader","SOP 4: Exceeding Practice and Assessment & Rating Readiness","Multicampus","","self","","Section 1 - Pedagogical Leadership","","",""
"educational_leader","SOP 5: Mentoring and Coaching","Multicampus","","self","","Section 2 - Team Capability and Leadership","","",""
"educational_leader","SOP 6: Peer Observation and Feedback","Multicampus","","self","","Section 2 - Team Capability and Leadership","","",""
"educational_leader","SOP 7: Professional Learning (PL)","Multicampus","","self","","Section 2 - Team Capability and Leadership","","",""
"educational_leader","SOP 8: Communication and Meetings","Multicampus","","self","","Section 3 - Community Engagement and Community of Practice","","",""
"educational_leader","SOP 9: Family and Community Partnerships","Multicampus","","self","","Section 3 - Community Engagement and Community of Practice","","",""
"educational_leader","SOP 10: Networking and Sector Engagement","Multicampus","","self","","Section 3 - Community Engagement and Community of Practice","","",""
"director","Rolling Out an SOP","Multicampus","","self","","Leadership and Governance","qa_primary=QA7 - Governance and leadership; qa_secondary=QA4 - Staffing arrangements; child_safe_primary=Standard 11: Policies and procedures document how the organisation is safe for children and young people; child_safe_secondary=Standard 10: Implementation of the Child Safe Standards is regularly reviewed and improved","",""
"director","Leadership Meetings","Multicampus","","self","","Leadership and Governance","qa_primary=QA7 - Governance and leadership; qa_secondary=QA4 - Staffing arrangements; child_safe_primary=Standard 2: Child safety and wellbeing is embedded in organisational leadership, governance and culture; child_safe_secondary=Standard 10: Implementation of the Child Safe Standards is regularly reviewed and improved","",""
"director","Coaching and Escalation Pathway","Multicampus","","self","","Leadership and Governance","qa_primary=QA7 - Governance and leadership; qa_secondary=QA4 - Staffing arrangements; child_safe_primary=Standard 6: People working with children and young people are suitable and supported to reflect child safety and wellbeing values in practice; child_safe_secondary=Standard 8: Staff and volunteers are equipped with the knowledge, skills and awareness to keep children and young people safe through ongoing education and training","",""
"director","Pitstop Conversations","Multicampus","","self","","Leadership and Governance","qa_primary=QA7 - Governance and leadership; qa_secondary=QA4 - Staffing arrangements; child_safe_primary=Standard 6: People working with children and young people are suitable and supported to reflect child safety and wellbeing values in practice; child_safe_secondary=Standard 8: Staff and volunteers are equipped with the knowledge, skills and awareness to keep children and young people safe through ongoing education and training","",""
"director","Performance Management","Multicampus","","self","","Leadership and Governance","qa_primary=QA4 - Staffing arrangements; qa_secondary=QA7 - Governance and leadership; child_safe_primary=Standard 6: People working with children and young people are suitable and supported to reflect child safety and wellbeing values in practice; child_safe_secondary=Standard 2: Child safety and wellbeing is embedded in organisational leadership, governance and culture","",""
"director","Governance and Compliance Tracking","Multicampus","","self","","Leadership and Governance","qa_primary=QA7 - Governance and leadership; qa_secondary=QA2 - Children's health and safety; child_safe_primary=Standard 2: Child safety and wellbeing is embedded in organisational leadership, governance and culture; child_safe_secondary=Standard 10: Implementation of the Child Safe Standards is regularly reviewed and improved","",""
"director","Leadership and Professional Growth","Multicampus","","self","","Leadership and Governance","qa_primary=QA7 - Governance and leadership; qa_secondary=QA4 - Staffing arrangements; child_safe_primary=Standard 8: Staff and volunteers are equipped with the knowledge, skills and awareness to keep children and young people safe through ongoing education and training; child_safe_secondary=Standard 6: People working with children and young people are suitable and supported to reflect child safety and wellbeing values in practice","",""
"director","Feedback and Collaboration","Multicampus","","self","","Leadership and Governance","qa_primary=QA7 - Governance and leadership; qa_secondary=QA4 - Staffing arrangements; child_safe_primary=Standard 6: People working with children and young people are suitable and supported to reflect child safety and wellbeing values in practice; child_safe_secondary=Standard 2: Child safety and wellbeing is embedded in organisational leadership, governance and culture","",""
"director","Cultural Partnerships","Multicampus","","self","","Leadership and Governance","qa_primary=QA6 - Collaborative partnerships with families and communities; qa_secondary=QA5 - Relationships with children; child_safe_primary=Standard 1: Organisations establish a culturally safe environment in which the diverse and unique identities and experiences of Aboriginal children and young people are respected and valued; child_safe_secondary=Standard 4: Families and communities are informed, and involved in promoting child safety and wellbeing","",""
"director","Running a Staff Meeting","Multicampus","","self","","Leadership and Governance","qa_primary=QA7 - Governance and leadership; qa_secondary=QA2 - Children's health and safety; child_safe_primary=Standard 2: Child safety and wellbeing is embedded in organisational leadership, governance and culture; child_safe_secondary=Standard 9: Physical and online environments promote safety and wellbeing while minimising the opportunity for children and young people to be harmed","",""
"director","Compliance Response","Multicampus","","self","","Leadership and Governance","qa_primary=QA7 - Governance and leadership; qa_secondary=QA4 - Staffing arrangements; child_safe_primary=Standard 10: Implementation of the Child Safe Standards is regularly reviewed and improved; child_safe_secondary=Standard 2: Child safety and wellbeing is embedded in organisational leadership, governance and culture","",""
"director","Regular Completion of OWNA Checklists","Multicampus","","self","","Leadership and Governance","qa_primary=QA2 - Children's health and safety; qa_secondary=QA7 - Governance and leadership; child_safe_primary=Standard 9: Physical and online environments promote safety and wellbeing while minimising the opportunity for children and young people to be harmed; child_safe_secondary=Standard 11: Policies and procedures document how the organisation is safe for children and young people","",""
"director","Spend Money, Receipts and Invoices","Multicampus","","self","","Leadership and Governance","qa_primary=QA7 - Governance and leadership; qa_secondary=QA4 - Staffing arrangements; child_safe_primary=Standard 11: Policies and procedures document how the organisation is safe for children and young people; child_safe_secondary=Standard 2: Child safety and wellbeing is embedded in organisational leadership, governance and culture","",""
"director","Using NQAITS","Multicampus","","self","","Leadership and Governance","qa_primary=QA7 - Governance and leadership; qa_secondary=QA2 - Children's health and safety; child_safe_primary=Standard 2: Child safety and wellbeing is embedded in organisational leadership, governance and culture; child_safe_secondary=Standard 7: Processes for complaints and concerns are child focused","",""
"director","To Do List","Multicampus","","self","","Workforce and HR Operations","qa_primary=QA7 - Governance and leadership; qa_secondary=QA4 - Staffing arrangements; child_safe_primary=Standard 2: Child safety and wellbeing is embedded in organisational leadership, governance and culture; child_safe_secondary=Standard 10: Implementation of the Child Safe Standards is regularly reviewed and improved","",""
"director","Writing Rosters","Multicampus","","self","","Workforce and HR Operations","qa_primary=QA4 - Staffing arrangements; qa_secondary=QA2 - Children's health and safety; child_safe_primary=Standard 9: Physical and online environments promote safety and wellbeing while minimising the opportunity for children and young people to be harmed; child_safe_secondary=Standard 6: People working with children and young people are suitable and supported to reflect child safety and wellbeing values in practice","",""
"director","Onboarding New Staff","Multicampus","","self","","Workforce and HR Operations","qa_primary=QA4 - Staffing arrangements; qa_secondary=QA7 - Governance and leadership; child_safe_primary=Standard 6: People working with children and young people are suitable and supported to reflect child safety and wellbeing values in practice; child_safe_secondary=Standard 8: Staff and volunteers are equipped with the knowledge, skills and awareness to keep children and young people safe through ongoing education and training","",""
"director","Absenteeism","Multicampus","","self","","Workforce and HR Operations","qa_primary=QA4 - Staffing arrangements; qa_secondary=QA2 - Children's health and safety; child_safe_primary=Standard 9: Physical and online environments promote safety and wellbeing while minimising the opportunity for children and young people to be harmed; child_safe_secondary=Standard 6: People working with children and young people are suitable and supported to reflect child safety and wellbeing values in practice","",""
"director","Staff Pays and Timesheets","Multicampus","","self","","Workforce and HR Operations","qa_primary=QA4 - Staffing arrangements; qa_secondary=QA7 - Governance and leadership; child_safe_primary=Standard 11: Policies and procedures document how the organisation is safe for children and young people; child_safe_secondary=Standard 2: Child safety and wellbeing is embedded in organisational leadership, governance and culture","",""
"director","Reference Checks and WWCC","Multicampus","","self","","Workforce and HR Operations","qa_primary=QA4 - Staffing arrangements; qa_secondary=QA7 - Governance and leadership; child_safe_primary=Standard 6: People working with children and young people are suitable and supported to reflect child safety and wellbeing values in practice; child_safe_secondary=Standard 2: Child safety and wellbeing is embedded in organisational leadership, governance and culture","",""
"director","Internet and Telephone Communications","Multicampus","","self","","Workforce and HR Operations","qa_primary=QA7 - Governance and leadership; qa_secondary=QA4 - Staffing arrangements; child_safe_primary=Standard 9: Physical and online environments promote safety and wellbeing while minimising the opportunity for children and young people to be harmed; child_safe_secondary=Standard 6: People working with children and young people are suitable and supported to reflect child safety and wellbeing values in practice","",""
"director","Weekly Focus","Multicampus","","self","","Workforce and HR Operations","qa_primary=QA1 - Educational program and practice; qa_secondary=QA7 - Governance and leadership; child_safe_primary=Standard 10: Implementation of the Child Safe Standards is regularly reviewed and improved; child_safe_secondary=Standard 8: Staff and volunteers are equipped with the knowledge, skills and awareness to keep children and young people safe through ongoing education and training","",""
"director","Onboarding a New Family","Multicampus","","self","","Family and Community Engagement","qa_primary=QA6 - Collaborative partnerships with families and communities; qa_secondary=QA5 - Relationships with children; child_safe_primary=Standard 4: Families and communities are informed, and involved in promoting child safety and wellbeing; child_safe_secondary=Standard 2: Child safety and wellbeing is embedded in organisational leadership, governance and culture","",""
"director","Complaints and Feedback","Multicampus","","self","","Family and Community Engagement","qa_primary=QA6 - Collaborative partnerships with families and communities; qa_secondary=QA7 - Governance and leadership; child_safe_primary=Standard 7: Processes for complaints and concerns are child focused; child_safe_secondary=Standard 2: Child safety and wellbeing is embedded in organisational leadership, governance and culture","",""
"director","Fees and Bills Management","Multicampus","","self","","Family and Community Engagement","qa_primary=QA7 - Governance and leadership; qa_secondary=QA4 - Staffing arrangements; child_safe_primary=Standard 11: Policies and procedures document how the organisation is safe for children and young people; child_safe_secondary=Standard 4: Families and communities are informed, and involved in promoting child safety and wellbeing","",""
"director","Preparing the Annual Report to Families","Multicampus","","self","","Family and Community Engagement","qa_primary=QA6 - Collaborative partnerships with families and communities; qa_secondary=QA1 - Educational program and practice; child_safe_primary=Standard 4: Families and communities are informed, and involved in promoting child safety and wellbeing; child_safe_secondary=Standard 10: Implementation of the Child Safe Standards is regularly reviewed and improved","",""
"director","Unlinked Child in Family","Multicampus","","self","","Family and Community Engagement","qa_primary=QA6 - Collaborative partnerships with families and communities; qa_secondary=QA2 - Children's health and safety; child_safe_primary=Standard 11: Policies and procedures document how the organisation is safe for children and young people; child_safe_secondary=Standard 4: Families and communities are informed, and involved in promoting child safety and wellbeing","",""
"director","Child Protection & Reportable Conduct","Multicampus","","self","","Children's Health, Safety and Wellbeing","qa_primary=QA2 - Children's health and safety; qa_secondary=QA7 - Governance and leadership; child_safe_primary=Standard 6: People working with children and young people are suitable and supported to reflect child safety and wellbeing values in practice; child_safe_secondary=Standard 2: Child safety and wellbeing is embedded in organisational leadership, governance and culture","",""
"director","Incident, Injury, Trauma & Illness","Multicampus","","self","","Children's Health, Safety and Wellbeing","qa_primary=QA2 - Children's health and safety; qa_secondary=QA7 - Governance and leadership; child_safe_primary=Standard 7: Processes for complaints and concerns are child focused; child_safe_secondary=Standard 9: Physical and online environments promote safety and wellbeing while minimising the opportunity for children and young people to be harmed","",""
"director","Medication, Medical Records, and First Aid Bag Checks","Multicampus","","self","","Children's Health, Safety and Wellbeing","qa_primary=QA2 - Children's health and safety; qa_secondary=QA4 - Staffing arrangements; child_safe_primary=Standard 7: Processes for complaints and concerns are child focused; child_safe_secondary=Standard 9: Physical and online environments promote safety and wellbeing while minimising the opportunity for children and young people to be harmed","",""
"director","Behaviour Guidance","Multicampus","","self","","Children's Health, Safety and Wellbeing","qa_primary=QA5 - Relationships with children; qa_secondary=QA1 - Educational program and practice; child_safe_primary=Standard 3: Children and young people are empowered about their rights, participate in decisions affecting them and are taken seriously; child_safe_secondary=Standard 8: Staff and volunteers are equipped with the knowledge, skills and awareness to keep children and young people safe through ongoing education and training","",""
"director","Emergency Evacuations, Drills and Lockdowns","Multicampus","","self","","Children's Health, Safety and Wellbeing","qa_primary=QA2 - Children's health and safety; qa_secondary=QA4 - Staffing arrangements; child_safe_primary=Standard 9: Physical and online environments promote safety and wellbeing while minimising the opportunity for children and young people to be harmed; child_safe_secondary=Standard 2: Child safety and wellbeing is embedded in organisational leadership, governance and culture","",""
"director","Enrolling a Child","Multicampus","","self","","Children's Health, Safety and Wellbeing","qa_primary=QA6 - Collaborative partnerships with families and communities; qa_secondary=QA2 - Children's health and safety; child_safe_primary=Standard 5: Equity is upheld and diverse needs respected in policy and practice; child_safe_secondary=Standard 4: Families and communities are informed, and involved in promoting child safety and wellbeing","",""
"director","Infectious Disease and Exclusion","Multicampus","","self","","Children's Health, Safety and Wellbeing","qa_primary=QA2 - Children's health and safety; qa_secondary=QA7 - Governance and leadership; child_safe_primary=Standard 9: Physical and online environments promote safety and wellbeing while minimising the opportunity for children and young people to be harmed; child_safe_secondary=Standard 7: Processes for complaints and concerns are child focused","",""
"director","Hazards Maintenance and Repairs","Multicampus","","self","","Environment, Risk and Maintenance","qa_primary=QA3 - Physical environment; qa_secondary=QA2 - Children's health and safety; child_safe_primary=Standard 9: Physical and online environments promote safety and wellbeing while minimising the opportunity for children and young people to be harmed; child_safe_secondary=Standard 2: Child safety and wellbeing is embedded in organisational leadership, governance and culture","",""
"director","Hazard Maintenance Management","Multicampus","","self","","Environment, Risk and Maintenance","qa_primary=QA3 - Physical environment; qa_secondary=QA2 - Children's health and safety; child_safe_primary=Standard 9: Physical and online environments promote safety and wellbeing while minimising the opportunity for children and young people to be harmed; child_safe_secondary=Standard 2: Child safety and wellbeing is embedded in organisational leadership, governance and culture","",""
"director","Centre Closure Decision","Multicampus","","self","","Environment, Risk and Maintenance","qa_primary=QA3 - Physical environment; qa_secondary=QA2 - Children's health and safety; child_safe_primary=Standard 9: Physical and online environments promote safety and wellbeing while minimising the opportunity for children and young people to be harmed; child_safe_secondary=Standard 2: Child safety and wellbeing is embedded in organisational leadership, governance and culture","",""
"finance_admin","Monthly Finance Meeting","Multicampus","","self","","Financial Management","build_status=NEW; category=Financial Management","",""
"finance_admin","Cash Flow Forecasting","Multicampus","","self","","Financial Management","build_status=NEW; category=Financial Management","",""
"finance_admin","Quarterly BAS Payment","Multicampus","","self","","Financial Management","build_status=UPDATED 29/7; category=Financial Management","",""
"finance_admin","Bank Reconciliation","Multicampus","","self","","Financial Management","build_status=; category=Financial Management","",""
"finance_admin","Batch Payment Processing","Multicampus","","self","","Xero and Payments","build_status=UPDATED 3/8; category=Xero and Payments","",""
"finance_admin","Spend Money Transactions","Multicampus","","self","","Xero and Payments","build_status=; category=Xero and Payments","",""
"finance_admin","Managing Direct Deposit","Multicampus","","self","","Xero and Payments","build_status=; category=Xero and Payments","",""
"finance_admin","Receipts and Invoices","Multicampus","","self","","Accounts and Invoicing","build_status=; category=Accounts and Invoicing","",""
"finance_admin","Accounts Receivable","Multicampus","","self","","Accounts and Invoicing","build_status=; category=Accounts and Invoicing","",""
"finance_admin","Debt Recovery Process","Multicampus","","self","","Accounts and Invoicing","build_status=; category=Accounts and Invoicing","",""
"finance_admin","Payroll Process","Multicampus","","self","","Payroll and HR","build_status=UPDATED 3/8; category=Payroll and HR","",""
"finance_admin","Adding a New Staff Member","Multicampus","","self","","Payroll and HR","build_status=; category=Payroll and HR","",""
"finance_admin","Drafting Staff Contracts","Multicampus","","self","","Payroll and HR","build_status=; category=Payroll and HR","",""
"finance_admin","Adding Default Leave for New Staff","Multicampus","","self","","Payroll and HR","build_status=; category=Payroll and HR","",""
"finance_admin","Payday Superannuation","Multicampus","","self","","Payroll and HR","build_status=UPDATED 3/8; category=Payroll and HR","",""
"finance_admin","Adding a New Family","Multicampus","","self","","Billing, Family and Enrolments","build_status=; category=Billing, Family and Enrolments","",""
"finance_admin","Adding a Holding Fee","Multicampus","","self","","Billing, Family and Enrolments","build_status=; category=Billing, Family and Enrolments","",""
"finance_admin","Creating a Payment Plan","Multicampus","","self","","Billing, Family and Enrolments","build_status=; category=Billing, Family and Enrolments","",""
"finance_admin","Departing Families or Children","Multicampus","","self","","Billing, Family and Enrolments","build_status=; category=Billing, Family and Enrolments","",""
"finance_admin","Unlinked Child","Multicampus","","self","","Billing, Family and Enrolments","build_status=; category=Billing, Family and Enrolments","",""
"finance_admin","Additional Child Care Subsidy (ACCS)","Multicampus","","self","","Billing, Family and Enrolments","build_status=; category=Billing, Family and Enrolments","",""
"finance_admin","Email Management","Multicampus","","self","","Tools and Administration","build_status=; category=Tools and Administration","",""
"finance_admin","Using AI","Multicampus","","self","","Tools and Administration","build_status=; category=Tools and Administration","",""
"finance_admin","Using the Leadership To-Do List","Multicampus","","self","","Tools and Administration","build_status=; category=Tools and Administration","",""
"finance_admin","EOM Reconciliation","Multicampus","","self","","Operations and Compliance","build_status=REVIEW; category=Operations and Compliance","",""
"finance_admin","Using NQAITS","Multicampus","","self","","Operations and Compliance","build_status=*TBC; category=Operations and Compliance","","source flags this SOP as not yet built"
"finance_admin","Using Arrival","Multicampus","","self","","Operations and Compliance","build_status=*TBC; category=Operations and Compliance","","source flags this SOP as not yet built"
"finance_admin","Phone Communication","Multicampus","","self","","Operations and Compliance","build_status=*TBC; category=Operations and Compliance","","source flags this SOP as not yet built"
"finance_admin","Grant Acquittal","Multicampus","","self","","Operations and Compliance","build_status=*TBC; category=Operations and Compliance","","source flags this SOP as not yet built"
