"policy_name","status","document_type","is_parent_facing","program","site","governs_an_sop","parent_list_source","review"
"Multicultural Policy","in_library","policy","false","","Multicampus","true","",""
"Nappy Change Toileting","in_library","policy","false","","Multicampus","true","",""
"Nutrition and Oral Health Policy","in_library","policy","false","","Multicampus","true","",""
"Performance Management and Disciplinary Policy","in_library","policy","false","","Multicampus","false","","named only in Educator out-of-scope list; belongs to Director tier; status not stated in source; defaulted to in_library"
"Photograph","in_library","policy","true","general","Multicampus","false","Photograph","only in parent list, not linked to any SOP; doc_type=policy; status not stated in source; defaulted to in_library"
"Procedure for Dealing with Complaints","in_library","policy","false","","Multicampus","true","",""
"Professional Development","in_library","policy","false","","Multicampus","true","",""
"Psychosocial Hazard Policy","must_be_written","policy","false","","Multicampus","true","",""
"Recruitment Selection and Equal Opportunity Policy","in_library","policy","false","","Multicampus","false","","named only in Educator out-of-scope list; belongs to Director tier; status not stated in source; defaulted to in_library"
"Return to Work and Injury Management Policy","in_library","policy","false","","Multicampus","false","","named only in Educator out-of-scope list; belongs to Director tier; status not stated in source; defaulted to in_library"
"Right to Disconnect Policy","must_be_written","policy","false","","Multicampus","true","",""
"RSG Active Play Policy","in_library","policy","false","","Multicampus","true","",""
"RSG HANDBOOK Mortlake","in_library","handbook","true","general","Mortlake","false","RSG HANDBOOK Mortlake","only in parent list, not linked to any SOP; doc_type=handbook; status not stated in source; defaulted to in_library"
"RSG PARENT HANDBOOK Timboon","in_library","handbook","true","general","Timboon","false","RSG PARENT HANDBOOK Timboon","only in parent list, not linked to any SOP; doc_type=handbook; status not stated in source; defaulted to in_library"
"Safe Storage of Hazardous Chemicals","in_library","policy","false","","Multicampus","true","",""
"Sexual Harassment Prevention and Positive Duty Policy","must_be_written","policy","false","","Multicampus","true","",""
"Sick Children Policy","in_library","policy","true","general","Multicampus","true","Sick Children","parent list name differs: 'Sick Children'"
"Sleep and Rest Policy","in_library","policy","false","","Multicampus","true","",""
"Staff Grievance and Dispute Resolution Policy","must_be_written","policy","false","","Multicampus","true","",""
"Staff Leave Entitlement","in_library","policy","false","","Multicampus","true","",""
"Staffing Arrangements","in_library","policy","false","","Multicampus","true","",""
"Statement of Safety to Child Commitment","in_library","policy","false","","Multicampus","true","",""
"Student Volunteers and Visitors Policy","in_library","policy","false","","Multicampus","true","",""
"Supervision Policy","in_library","policy","false","","Multicampus","true","",""
"Transition School Policy","in_library","policy","false","","Multicampus","true","",""
"UV Sun Safety","in_library","policy","true","general","Multicampus","true","UV Sun Safety",""
"Water Safety","in_library","policy","true","general","Multicampus","true","Water Safety",""
"WHS Consultation Policy","in_library","policy","false","","Multicampus","false","","named only in Educator out-of-scope list; belongs to Director tier; status not stated in source; defaulted to in_library"
